Rank,2009 Rank,Company and Year-end,Profit ($000),% Chg,Revenue ($000),% Chg,Assets ($000),% Chg,Mkt Cap ($-mil),Employees,Industry,Rank Change,Profit Margin,Revenue per Employee,Profit Per Employee,Return on Assets
1,1,Royal Bank of Canada(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=RY-T,5223000,35,36026000,-6,726206000,11,77408,72126,Banks,0,0,499487,72415,0
2,3,Toronto-Dominion Bank(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TD-T,4644000,49,25409000,0,619545000,11,64526,68725,Banks,1,0,369720,67574,0
3,2,Bank of Nova Scotia(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BNS-T,4239000,20,23775000,-5,526657000,6,57016,70772,Banks,-1,0,335938,59897,0
997,18,Manulife Financial(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=MFC-T,-391000,-128,37856000,-8,417729000,5,30493,24000,Insurance - Life,-979,0,1577333,-16292,0
7,8,Bank of Montreal(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BMO-T,2810000,57,15453000,-4,411640000,6,34118,38000,Banks,1,0,406658,73947,0
8,21,CIBC(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CM-T,2452000,109,14976000,8,352040000,5,30724,42354,Banks,13,0,353591,57893,0
16,35,Sun Life Financial(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=SLF-T,1676000,173,24686000,-11,209770000,4,17283,14755,Insurance - Life,19,0,1673060,113589,0
24,9,Great-West Life Assurance(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=GWL.PR.O-T,1376000,-21,23735000,-2,177330000,5, ,12600,Insurance - Life,-15,0,1883730,109206,0
37,33,Power Corp. of Canada(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=POW-T,907000,33,33013000,-1,146066000,2,12690,33087,Management & Diversified,-4,0,997763,27413,0
31,30,National Bank of Canada(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=NA-T,1034000,21,5259000,-2,145301000,10,10821,18322,Banks,-1,0,287032,56435,0
