Rank,2009 Rank,Company and Year-end,Profit ($000),% Chg,Revenue ($000),% Chg,Assets ($000),% Chg,Mkt Cap ($-mil),Employees,Industry,Rank Change,Profit Margin,Revenue per Employee,Profit Per Employee,Return on Assets
1,1,Royal Bank of Canada(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=RY-T,5223000,35,36026000,-6,726206000,11,77408,72126,Banks,0,14.50%,499,487.01,72,414.94,0.72%
2,3,Toronto-Dominion Bank(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TD-T,4644000,49,25409000,0,619545000,11,64526,68725,Banks,1,18.28%,369,719.90,67,573.66,0.75%
3,2,Bank of Nova Scotia(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BNS-T,4239000,20,23775000,-5,526657000,6,57016,70772,Banks,-1,17.83%,335,937.94,59,896.57,0.80%
997,18,Manulife Financial(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=MFC-T,-391000,-128,37856000,-8,417729000,5,30493,24000,Insurance - Life,-979,-1.03%,1,577,333.33,-16,291.67,-0.09%
7,8,Bank of Montreal(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BMO-T,2810000,57,15453000,-4,411640000,6,34118,38000,Banks,1,18.18%,406,657.89,73,947.37,0.68%
8,21,CIBC(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CM-T,2452000,109,14976000,8,352040000,5,30724,42354,Banks,13,16.37%,353,591.16,57,893.00,0.70%
16,35,Sun Life Financial(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=SLF-T,1676000,173,24686000,-11,209770000,4,17283,14755,Insurance - Life,19,6.79%,1,673,059.98,113,588.61,0.80%
24,9,Great-West Life Assurance(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=GWL.PR.O-T,1376000,-21,23735000,-2,177330000,5,null,12600,Insurance - Life,-15,5.80%,1,883,730.16,109,206.35,0.78%
37,33,Power Corp. of Canada(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=POW-T,907000,33,33013000,-1,146066000,2,12690,33087,Management & Diversified,-4,2.75%,997,763.47,27,412.58,0.62%
31,30,National Bank of Canada(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=NA-T,1034000,21,5259000,-2,145301000,10,10821,18322,Banks,-1,19.66%,287,031.98,56,434.89,0.71%
19,16,Power Financial(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=PWF-T,1584000,10,32544000,-1,143255000,2,21757,31649,Finance and Leasing,-3,4.87%,1,028,278.93,50,048.97,1.11%
14,11,Great-West Lifeco(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=GWO-T,1743000,3,30000000,-2,131514000,2,25039,18150,Insurance - Life,-3,5.81%,1,652,892.56,96,033.06,1.33%
30,26,Canada Life Financial(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CL.PR.B-T,1053000,1,10373000,0,92303000,1,null,2950,Insurance - Life,-4,10.15%,3,516,271.19,356,949.15,1.14%
22,42,Brookfield Asset Management(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BAM.A-T,1454000,274,13796000,89,78131000,20,19178,18000,Management & Diversified,20,10.54%,766,444.44,80,777.78,1.86%
50,43,HSBC Bank Canada(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=HSB.PR.C-T,490000,-3,3083000,-9,71496000,0,null,8255,Banks,-7,15.89%,373,470.62,59,357.96,0.69%
4,22,Suncor Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=SU-T,3571000,212,36820000,37,70169000,1,59927,12076,Integrated Oils,18,9.70%,3,049,022.86,295,710.50,5.09%
27,20,TransCanada Pipelines(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TCA.PR.X-T,1256000,-9,8158000,-2,47949000,7,null,4200,Pipelines,-7,15.40%,1,942,380.95,299,047.62,2.62%
25,19,TransCanada Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TRP-T,1272000,-8,8158000,-2,46589000,6,26450,4230,Management & Diversified,-6,15.59%,1,928,605.20,300,709.22,2.73%
15,12,Cdn. Natural Resources(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CNQ-T,1697000,7,14625000,25,42669000,4,48379,4671,Oil and Gas Producers,-3,11.60%,3,131,021.19,363,305.50,3.98%
9,10,BCE Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BCE-T,2277000,31,18207000,2,39276000,3,26585,50200,Telephone Utilities,1,12.51%,362,689.24,45,358.57,5.80%
36,29,Thomson Reuters Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TRI-T,933000,8,13198000,-2,35531000,3,31036,55000,Other Services,-7,7.07%,239,963.64,16,963.64,2.63%
20,5,EnCana Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ECA-T,1499000,-19,9097000,-20,34020000,1,21419,4169,Oil and Gas Producers,-15,16.48%,2,182,058.05,359,558.65,4.41%
84,72,Industrial Alliance Insurance(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=IAG-T,274000,25,6844000,17,33675000,16,3087,3400,Insurance - Life,-12,4.00%,2,012,941.18,80,588.24,0.81%
